SOC (%),Voltage (V),Current (A),Battery Temp (°C),Ambient Temp (°C),Charging Duration (min),Degradation Rate (%),Charging Mode,Efficiency (%),Battery Type,Charging Cycles,EV Model,Optimal Charging Duration Class,c_minus_deltac,Reaction_Rate_J,SEI_Growth,Plating_Risk,Electrode_Area,Graphene_Enhanced,SEI_Growth_Enhanced,Plating_Risk_Enhanced,Degradation Rate (%)_Enhanced,Electrode_Area_Enhanced
43.70861069626263,3.629593050187034,33.55351153623154,33.45405988417796,26.439917565671852,59.363552027744205,8.805096198000713,Fast,98.23898076039984,Li-ion,112,B,1,0.21744202283981975,0.021744202283981977,2.364051664833635e-05,0.9738623444965924,40583.56463347601,1,0.0034380602560409226,0.7644065715952182,5.72,279.2875729181257
24.041677639819287,4.064592803503015,34.47547535157679,31.43491966287497,17.984989394829476,106.96496848121711,11.687577238569476,Fast,97.6624845522861,Li-ion,886,C,2,0.16835878204722893,0.016835878204722893,1.417233974621317e-05,1.0629123090148251,65909.41257096406,1,0.0026619860768055466,0.798590874859521,7.6,351.6645327920103
24.03950683025824,3.9611483566975023,78.34584361761674,36.65660753576542,20.363487354898268,28.81344309766915,5.435925976440278,Slow,98.91281480471194,Li-ion,248,C,0,0.11024663698760745,0.011024663698760746,6.0771604835386485e-06,2.08053376935789,141299.6077065064,1,0.00174315238627302,1.1172825343729014,3.53,497.60603846494683
64.1003510568888,3.67476760620143,15.882954180794671,33.48039838117585,28.593944336666905,38.181765283733874,8.06085124554772,Slow,98.38782975089046,Li-ion,310,B,0,0.35887486394084583,0.03588748639408458,7.41530482707119e-05,0.4606372004525845,13306.180161819368,1,0.005674309825180517,0.5257207626407299,5.24,162.0583272334264
73.7265320016441,3.8425974745501983,53.88140743060459,21.03671598239458,16.13360864331671,63.03465323722004,9.991050168970272,Slow,98.00178996620596,Li-ion,379,C,1,0.22930043767610053,0.022930043767610053,2.6289345359225632e-05,2.445074278474667,36644.33817801103,1,0.0036255582576498226,1.2112161520904516,6.49,265.8909459055302
11.85260448662222,3.6548466092737217,13.025224016495436,30.97717330154712,15.693454084521328,36.54997746636556,5.1873203449389305,Normal,98.9625359310122,Li-ion,637,C,0,0.1823680998011284,0.01823680998011284,1.6629061912537166e-05,0.407328812139416,56724.515743451746,1,0.0028834928396423293,0.49436554014580103,3.37,327.6570409140386
29.11051996104485,3.5275987679579544,22.532083400583566,27.05917006904713,18.86870685912965,83.5323346708321,9.769512390740609,Normal,98.04609752185188,Li-ion,337,B,2,0.21348329507873912,0.021348329507873912,2.2787558638838e-05,0.803020308339032,42038.78233923921,1,0.003375467274233154,0.6941269228343036,6.35,284.0521759752325
22.554447458683764,3.7081443051607854,60.41513651156578,28.65533759198525,19.81063170360297,63.53963233997514,7.855458614198047,Slow,98.4289082771604,Li-ion,672,A,1,0.1176580181698732,0.011765801816987321,6.921704619831107e-06,2.0372432559288676,126235.4566334891,1,0.0018603366119913766,1.105597554970759,5.11,473.4684858498703
36.29301836816963,4.147077336763571,94.31402158297828,33.708877664438035,28.447676865834072,115.31201143941378,13.1094290882482,Fast,97.37811418235036,Li-ion,222,C,2,0.12632650460653044,0.012632650460653044,7.979192883051878e-06,2.717288138636946,111368.5843509931,1,0.0019973974170219453,1.2768605574541676,8.52,447.6795840962382
42.97256589643225,4.179740771615758,14.70320913574214,26.64912314297424,31.52129369096571,91.92452005758318,11.141461123435588,Normal,97.77170777531288,Li-ion,448,B,2,0.3495137370256982,0.03495137370256982,6.107992618483446e-05,0.5317784965444117,16108.266575940139,1,0.005526297412591656,0.5648602463677604,7.24,178.06124663112394
